Marker_ID,X,Y,Theta
Marker_ID,X,Y,Theta
6,0.0005948250800355258,-0.0009040589797704077,"[0.00017715711742163082, -1.283449429288328e-10, 0.0007335726250177635]"
7,0.0005948250800355258,-0.0009040589797704077,"[0.00017715711742163082, -1.283449429288328e-10, 0.0007335726250177635]"
6,0.0006151200653937207,-0.0009291220410652678,"[0.00031591768204931647, -1.2834348786033856e-10, 0.0007610652014006754]"
7,0.0006151200653937207,-0.0009291220410652678,"[0.00031591768204931647, -1.2834348786033856e-10, 0.0007610652014006754]"
6,0.0007196776548187269,-0.0009582357481117305,"[2.9295885826505044e-05, -1.2834181405563593e-10, 0.0007887888476749256]"
7,0.0007196776548187269,-0.0009582357481117305,"[2.9295885826505044e-05, -1.2834181405563593e-10, 0.0007887888476749256]"
6,0.0007203206427854667,-0.0009886239969432837,"[-0.00028077596822783377, -1.2833974166607046e-10, 0.0008240156524576526]"
7,0.0007203206427854667,-0.0009886239969432837,"[-0.00028077596822783377, -1.2833974166607046e-10, 0.0008240156524576526]"
6,0.0006005797571500403,-0.0010139752075720122,"[-0.00019603463571553302, -1.2834089305922413e-10, 0.0008761363055945632]"
7,0.0006005797571500403,-0.0010139752075720122,"[-0.00019603463571553302, -1.2834089305922413e-10, 0.0008761363055945632]"
6,0.0006259519734753881,-0.0010453649611979268,"[-8.758790109647733e-05, -1.283414047092046e-10, 0.0009143227324531141]"
7,0.0006259519734753881,-0.0010453649611979268,"[-8.758790109647733e-05, -1.283414047092046e-10, 0.0009143227324531141]"
6,0.0008064518773509638,-0.0010699283045238863,"[-0.00015259003306713524, -1.283412514640501e-10, 0.0009256147654914038]"
6,0.0008490786265554033,-0.0011050456187875024,"[-0.0002190886950655831, -1.2834082624906366e-10, 0.0009513906802476931]"
6,0.0010720074290338547,-0.0011307543308125328,"[0.00023959424599623975, -8.12752961553068e-11, 0.0009450590053078051]"
6,0.001072895512143688,-0.001162837686451063,"[-0.0002385966866259285, -1.2833920909693714e-10, 0.0009772130369070347]"
6,0.0012895933800565092,-0.0012015376338941539,"[-0.00025055447225095015, -1.2833984515811767e-10, 0.0009821682191987428]"
Marker_ID,X,Y,Theta
6,0.00017212577012766083,-0.00039653128322707985,"[0.00019360898224606355, -1.2834266322521552e-10, 0.00024674277829079107]"
7,0.00017212577012766083,-0.00039653128322707985,"[0.00019360898224606355, -1.2834266322521552e-10, 0.00024674277829079107]"
6,0.013125542540507252,-6.485446281543098e-05,"[-7.501925622364483e-05, 1.6318468971656724e-10, 0.03461481443228034]"
7,0.013125542540507252,-6.485446281543098e-05,"[-7.501925622364483e-05, 1.6318468971656724e-10, 0.03461481443228034]"
6,0.8170861440496934,0.11856577764249142,"[0.0003849700248639818, -1.2831559744591863e-10, 0.3892406318408251]"
7,0.8170861440496934,0.11856577764249142,"[0.0003849700248639818, -1.2831559744591863e-10, 0.3892406318408251]"
7,1.5791239755915119,0.6843281934351059,"[7.934698662132561e-07, 3.4607684538115905e-05, 1.0041717495523317]"
6,1.6176872197914474,0.7650614293683161,"[0.00025490138409705405, -3.136302548971491e-08, 1.0187193679493325]"
6,1.6085146493034024,0.772420516030776,"[0.00039473853887388627, -1.2822947697698102e-10, 2.303407480092321]"
1,1.6037893271749835,0.7715814587956257,"[0.0004543666626044577, -1.2834346426067716e-10, 2.9610269700153538]"
1,1.603722839347015,0.7716014634498224,"[0.00042093578158551137, 3.0641754454380245e-06, 2.9613666398848317]"
1,1.6037457263879893,0.7716084288348056,"[3.815211698780063e-05, -1.2834005021518567e-10, 2.961921211796212]"
1,1.6036323167238826,0.7715947604299185,"[-1.219755547233404e-05, -1.283398759066048e-10, 2.962809882228527]"
1,1.6034910428519746,0.7716083161131027,"[0.00017450361526681819, -1.2834067101367952e-10, 2.9633117488358236]"
1,1.0436157652668443,0.8166863142161895,"[0.00010906064477841801, -1.2834085755489847e-10, -3.0391738889238185]"
1,0.7823479851216366,0.7884523365614622,"[0.00031393385890957006, -5.106615480895256e-05, -2.9731456924677415]"
1,0.1838813595853771,0.4978483909144948,"[0.0001491829820321059, -1.2823685360395954e-10, -2.4518533660549857]"
1,-0.11263045490946579,0.14994807555505812,"[0.00010319865912793804, -1.282585167832937e-10, -2.189922975666649]"
